rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/loss,train/approx_kl,train/n_updates,train/value_loss,train/std,train/explained_variance,train/clip_range
829.44,512000,125,1492.3496328100002,187,2730,0.0003,-5.813521730899811,-0.009697687337757088,0.0492919921875,-0.07356104254722595,0.0061424966,1240,0.002260906626179349,1.1127469539642334,0.9836441036313772,0.2
820.57,516096,126,1470.6621756700001,189,2724,0.0003,-5.803868806362152,-0.009152927636750973,0.055078125,-0.0704410970211029,0.0066833617,1250,0.0028056315262801946,1.1098098754882812,0.9837428834289312,0.2
811.82,520192,127,1449.7870866100002,190,2728,0.0003,-5.811390697956085,-0.006009961027302779,0.05947265625,-0.0733637660741806,0.006413647,1260,0.004995066972333007,1.1215232610702515,0.9772105161100626,0.2
793.28,524288,128,1408.2947481,191,2735,0.0003,-5.851506626605987,-0.010250277176965028,0.056640625,-0.07320383936166763,0.006552808,1270,0.005050716153346002,1.1282033920288086,0.9810813255608082,0.2
793.1,528384,129,1410.5736229099994,192,2740,0.0003,-5.878183567523957,-0.00839582603512099,0.0294677734375,-0.07102379947900772,0.004637028,1280,0.0008784235182247357,1.1351556777954102,0.9968664024490863,0.2
793.1,532480,130,1412.7492304199998,193,2745,0.0003,-5.891253888607025,-0.009034596232231707,0.038330078125,-0.08094166964292526,0.0046569607,1290,0.0023701133599388414,1.135862946510315,0.9788014572113752,0.2
793.1,536576,131,1412.5027727199997,195,2750,0.0003,-5.891042590141296,-0.008869867685280041,0.047412109375,-0.0754489079117775,0.004985428,1300,0.0016124455163662788,1.1360925436019897,0.9565428197383881,0.2
793.1,540672,132,1411.9137020599997,196,2753,0.0003,-5.878025907278061,-0.008330403303261846,0.055419921875,-0.06329680979251862,0.0061392207,1310,0.0008941029980633175,1.1324206590652466,0.9602802619338036,0.2
821.9,544768,133,1474.8287835800002,198,2750,0.0003,-5.877293759584427,-0.00815824683086248,0.03994140625,-0.06417723000049591,0.0066253766,1320,0.0002346620973185054,1.1351577043533325,0.9749985411763191,0.2
821.9,548864,134,1474.45395185,200,2735,0.0003,-5.879301142692566,-0.008554448143695482,0.0501708984375,-0.06590013951063156,0.004807744,1330,0.0007309653308766428,1.134022831916809,0.9178749918937683,0.2
841.14,552960,135,1517.7528216700002,201,2737,0.0003,-5.874822586774826,-0.009750077084754593,0.058251953125,-0.06603170186281204,0.0062893583,1340,0.00014930385104889866,1.1343430280685425,0.9795753490179777,0.2
850.8,557056,136,1540.28144681,203,2735,0.0003,-5.877077716588974,-0.01510676163889002,0.066943359375,-0.08135441690683365,0.00746816,1350,0.0008129815963911824,1.1359870433807373,0.9274696335196495,0.2
841.21,561152,137,1521.84873049,205,2735,0.0003,-5.8772060692310335,-0.008851271381718106,0.0642578125,-0.06640380620956421,0.0054558553,1360,0.00017593049651623005,1.1353358030319214,0.9829062148928642,0.2
822.89,565248,138,1476.8091409299998,206,2733,0.0003,-5.868954014778137,-0.0067131562842405405,0.0362060546875,-0.0605584979057312,0.0054598292,1370,0.005173916189232841,1.1333293914794922,0.9929883587174118,0.2
823.04,569344,139,1476.9710155,208,2731,0.0003,-5.878107017278671,-0.011285670539655257,0.07294921875,-0.07360260933637619,0.009387556,1380,0.003458677475282457,1.142105221748352,0.9905319306999445,0.2
814.58,573440,140,1452.9081141399997,209,2732,0.0003,-5.905309057235717,-0.007767983379017096,0.0526611328125,-0.06448070704936981,0.0071234927,1390,0.0015285125882655848,1.1492609977722168,0.9841938149183989,0.2
805.81,577536,141,1430.31491645,211,2734,0.0003,-5.921492493152618,-0.007775795903580729,0.0389892578125,-0.07132072001695633,0.004936998,1400,0.0017970436107134446,1.1524306535720825,0.9967727207113057,0.2
815.31,581632,142,1454.34316066,212,2739,0.0003,-5.930324721336365,-0.009395781086641363,0.0481689453125,-0.07144854962825775,0.00412036,1410,0.0064204987051198256,1.1520344018936157,0.9911309406161308,0.2
816.04,585728,143,1452.3668330500002,213,2742,0.0003,-5.926755785942078,-0.005152306251693517,0.034130859375,-0.06494426727294922,0.003642562,1420,0.00029652049106516644,1.1495168209075928,0.945432223379612,0.2
825.06,589824,144,1475.5809186900003,215,2740,0.0003,-5.9156975746154785,-0.007802007021382451,0.0520263671875,-0.06258747726678848,0.005957336,1430,0.010366335330763832,1.1504051685333252,0.9820474665611982,0.2
844.07,593920,145,1513.6338618999998,216,2739,0.0003,-5.91676498055458,-0.005618232875713147,0.0542236328125,-0.07320944219827652,0.003426571,1440,0.0008003145772818243,1.1497224569320679,0.9148441106081009,0.2
853.63,598016,146,1534.2750916999998,218,2738,0.0003,-5.912605774402619,-0.007206950639374554,0.04228515625,-0.0730333924293518,0.0049332273,1450,0.0014487882741377688,1.1494712829589844,0.9188924729824066,0.2
862.5,602112,147,1557.9175580200003,219,2740,0.0003,-5.898944401741028,-0.00588021956209559,0.0612060546875,-0.0727558359503746,0.0073480345,1460,0.0003978723780164728,1.1461735963821411,0.9500013142824173,0.2
