time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/clip_fraction,train/n_updates,train/value_loss,train/std,train/loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/entropy_loss,train/clip_range
485,825.66,397,1626112,1417.0604975800002,3351,0.0900146484375,3960,0.13281788900494576,1.0094283819198608,-0.011976812034845352,0.2345714569091797,-0.0028193955920869486,0.009521746,0.0003,-5.582410478591919,0.2
486,841.69,398,1630208,1440.9661967799998,3352,0.0735107421875,3970,0.8528167277574539,1.0116647481918335,0.5278477072715759,0.19853460788726807,-0.004470138761098497,0.007833674,0.0003,-5.587987476587296,0.2
487,817.85,399,1634304,1401.7518537000003,3354,0.188916015625,3980,0.28016226226463914,1.0113470554351807,0.05195121467113495,0.4390830993652344,-0.006186532137508039,0.0144467065,0.0003,-5.5928950846195224,0.2
488,817.85,400,1638400,1400.27526893,3355,0.122607421875,3990,0.6508739627897739,1.0085726976394653,0.1866971254348755,0.395185649394989,-0.005669345895876176,0.013214837,0.0003,-5.586651039123535,0.2
489,808.18,401,1642496,1381.1517144399998,3357,0.096923828125,4000,0.25929032429121435,1.007412314414978,0.15123343467712402,0.0011486411094665527,-0.003235466801561415,0.008869065,0.0003,-5.578101730346679,0.2
490,817.67,402,1646592,1399.1365176900001,3358,0.1236083984375,4010,0.7234000094234944,1.0122748613357544,0.18781274557113647,0.12902259826660156,-0.006065213109832257,0.009905354,0.0003,-5.585755091905594,0.2
491,823.08,403,1650688,1414.1431466100005,3360,0.152294921875,4020,0.2557101441547275,1.0108327865600586,0.004262886941432953,0.0014362335205078125,-0.0051821168948663395,0.011059112,0.0003,-5.591822558641434,0.2
492,823.08,404,1654784,1413.2416862700002,3361,0.0911376953125,4030,0.7404920525848866,1.008967638015747,0.24019917845726013,-0.009436488151550293,-0.004780335357645526,0.009747421,0.0003,-5.582479155063629,0.2
493,841.85,405,1658880,1452.6225037199997,3362,0.164208984375,4040,0.24826775216497482,1.0054762363433838,0.04942828416824341,-0.0004467964172363281,-0.004623114879359491,0.013692381,0.0003,-5.573347133398056,0.2
494,822.77,406,1662976,1414.84410673,3364,0.11943359375,4050,0.7234298951923848,0.9961780309677124,0.3707035183906555,0.016801536083221436,-0.005082865385702462,0.010040541,0.0003,-5.552251803874969,0.2
495,813.78,407,1667072,1397.1937191400002,3365,0.14677734375,4060,0.24383505689911544,0.991600513458252,0.06388305127620697,0.597160279750824,-0.005658777698408812,0.0120470375,0.0003,-5.5274141192436215,0.2
496,820.54,408,1671168,1415.5584982999999,3367,0.1043212890625,4070,0.7338862996548414,0.994750440120697,0.36649787425994873,0.317737340927124,-0.006375921616563573,0.009026686,0.0003,-5.5289689838886265,0.2
497,801.41,409,1675264,1378.7056325099998,3368,0.1055908203125,4080,0.24661357952281832,1.0008251667022705,0.07937410473823547,0.023615717887878418,-0.002989886800060049,0.009802837,0.0003,-5.548948061466217,0.2
498,791.78,410,1679360,1359.1417560999998,3370,0.09658203125,4090,0.7391830567270518,1.003072738647461,0.3528270125389099,0.388346791267395,-0.006440199038479477,0.009195685,0.0003,-5.565008878707886,0.2
499,810.63,411,1683456,1398.0487079799998,3371,0.1406982421875,4100,0.2528949257917702,1.0019214153289795,0.04656263813376427,0.3994978070259094,-0.005952211827388964,0.010260115,0.0003,-5.564029181003571,0.2
500,801.19,412,1687552,1379.03214168,3373,0.11123046875,4110,0.7250987220555544,0.99767005443573,0.28937312960624695,0.19286757707595825,-0.005042484136356507,0.00785792,0.0003,-5.553283435106278,0.2
501,827.03,413,1691648,1434.35740727,3374,0.15869140625,4120,0.24732608622871338,0.9958833456039429,0.0810779556632042,0.3916648030281067,-0.00599636684928555,0.012099914,0.0003,-5.538329291343689,0.2
