trial_id,direction,n_same_dir_sims,best_sim_episode,best_rmse,best_corr,best_dtw,mean_rmse_same_dir,mean_corr_same_dir,mean_dtw_same_dir
84,-1.0,40,30,0.07973201509600997,0.13250920091896246,0.0046382163166544844,0.08226573872063023,0.11951631848616921,0.03579878211159283
85,-1.0,40,2,0.09178135666316099,0.19547465230787592,0.003676197033129961,0.08108757541914606,0.16515172571779094,0.03181398619532925
86,-1.0,40,2,0.09534142520193156,0.16575544209921989,0.002902510302846041,0.08090330958761802,0.13953090006999863,0.02998538219004024
87,-1.0,40,4,0.023919891806267007,0.07923977142405471,0.007834477366674237,0.07968216216700234,0.09745141583946634,0.04796325786052756
88,-1.0,40,27,0.04699973340496941,0.08485768102243205,0.008822561477667131,0.08501133169074726,0.08260064520536879,0.04506980996169069
89,-1.0,40,1,0.07811067201348865,0.1385572532869481,0.006423023382153051,0.08428803922786698,0.12474156655854833,0.03606650168387539
90,-1.0,40,28,0.0686548247808177,0.0937267405221159,0.005720188812459346,0.08363910227222189,0.09074171180904417,0.03977049837646611
91,-1.0,40,38,0.07470914817887118,0.13247779214934927,0.005805903264602979,0.08294560920690139,0.11683368839285486,0.03673219147093185
92,-1.0,40,1,0.0767172214149823,0.12973802799777867,0.004491906697264888,0.0824653855673112,0.11684701260242228,0.03630016836466958
93,-1.0,40,30,0.08135082196064429,0.12080783497079982,0.00603779197453182,0.0834989175839888,0.10930070647163621,0.03708332294705192
94,-1.0,40,30,0.08218723531732684,0.11480361570594964,0.006610454179990814,0.08371266092330862,0.10532826755253019,0.03738956957989255
95,-1.0,40,5,0.027513581949613085,0.008390119197010985,0.009998234672438827,0.08459170109783579,0.08008794763151436,0.04821184447440678
96,-1.0,40,30,0.07978512905969799,0.13236653551808525,0.0061067698081974375,0.08349778465630278,0.11887958240420995,0.03412545700105375
97,-1.0,40,1,0.07632539425377616,0.12977489294047354,0.004583773108516879,0.08196320272100177,0.11771715118594728,0.037334323700414895
98,-1.0,40,30,0.08024728724111795,0.1320031633687975,0.00449125922962951,0.08266440946556139,0.11903898642669267,0.03640198625274423
99,-1.0,40,38,0.07574099158423929,0.12271518132187396,0.0057725344579412806,0.0837914088953809,0.10820033075493396,0.03769108642936314
100,-1.0,40,5,0.028465376755585078,0.01825657234953247,0.010856169028446053,0.08424881172775348,0.09224550833477149,0.04703442309637339
101,-1.0,40,2,0.10291574471664693,0.1414406752316608,0.0070163812529936915,0.0844759639759219,0.11968242393818558,0.03428752938862216
102,-1.0,40,1,0.07598371583217582,0.1283621212504693,0.00604183649263045,0.08278966234919552,0.11551860070331373,0.03344229352905741
103,-1.0,40,20,0.04381446138152962,0.10813921878167368,0.009400168708350067,0.08412874281901707,0.09316248809129539,0.04440723273514246
