trial_id,direction,n_same_dir_sims,best_sim_episode,best_rmse,best_corr,mean_rmse_same_dir,mean_corr_same_dir
66,-1.0,20,31,0.12692800835987222,0.09534985187088903,0.12935174597418292,0.06716995508870473
67,-1.0,20,31,0.1212373156414651,0.15234409010912126,0.12382616337197554,0.10677521297154635
68,-1.0,20,31,0.127299645401669,0.1268026760075326,0.1298321533155876,0.08880848502176955
69,-1.0,20,31,0.1234353668439821,0.15139806353707472,0.12600826733876563,0.1060249624437336
70,-1.0,20,31,0.12002791489781406,0.1609205749279399,0.12264835306839808,0.11294804981554527
71,-1.0,20,31,0.11690023395727006,0.17104965773020742,0.11954374939879904,0.12023899129149554
72,-1.0,20,31,0.11881372418289457,0.16608554324339328,0.12145278426178799,0.11664604028317178
73,-1.0,20,31,0.12098729356261058,0.14200442511021605,0.1235443209515045,0.09991939821478332
74,-1.0,20,31,0.1176540310621132,0.15193712486814787,0.12023251011155459,0.10681381013777633
75,-1.0,20,31,0.11947969860745614,0.14729791487417393,0.1220367285325847,0.10360902446572118
76,-1.0,20,31,0.1234885826120784,0.1254678702964312,0.12598281350767707,0.08814274881538368
77,-1.0,20,31,0.12092840986388032,0.14520591453688234,0.1234794704541061,0.10202575286628783
78,-1.0,20,31,0.12057787380217284,0.17009742152088203,0.12326027293908841,0.11944196919143635
79,-1.0,20,31,0.1241944876603221,0.13474163654246443,0.12672547827805763,0.09452559099871408
80,-1.0,20,31,0.11949362345303578,0.15508531104502474,0.12208102095746536,0.10888681167225003
81,-1.0,20,31,0.12245801687729399,0.13070180796783262,0.12498260460142722,0.0917677395533657
82,-1.0,20,31,0.12014389900182303,0.15130741419465843,0.12273530131189662,0.1063016031399183
83,-1.0,20,31,0.11986828961414173,0.14277804157887272,0.12241486398370127,0.10038109457704858
84,-1.0,20,31,0.11641014598330608,0.16901958047760612,0.11904145729151741,0.11871964037211
85,-1.0,20,31,0.10590323895535127,0.2372849286658182,0.10890528849891652,0.16652301806965927
86,-1.0,20,31,0.11347466331297212,0.196013064402105,0.11627011311403963,0.13772089912304578
87,-1.0,20,31,0.12758731899201878,0.12550383339286297,0.13009232800262321,0.08809089143730796
88,-1.0,20,31,0.12461513988294322,0.1180726868605022,0.12710323802947404,0.08301078855396879
89,-1.0,20,31,0.11894402605172628,0.18135935328101693,0.12169749353971668,0.12712722684149286
90,-1.0,20,31,0.12194429598053673,0.125082608462453,0.12442789425573086,0.08793378049924058
91,-1.0,20,31,0.118973098894433,0.17132571240898845,0.12163139962039111,0.12041203956465371
92,-1.0,20,31,0.11824645072569735,0.16713650627750992,0.12088170243976563,0.11740242083964166
93,-1.0,20,31,0.11802113527877221,0.15511643744983603,0.12061448818541076,0.10900919994806091
94,-1.0,20,31,0.1196296571240474,0.14917696281547907,0.12221029717061424,0.10482110924710764
95,-1.0,20,31,0.1254502185713205,0.11783524816371256,0.1279211022674689,0.08266166245422768
96,-1.0,20,31,0.11566159784748062,0.1704650925883976,0.118327433167015,0.11984377278330949
97,-1.0,20,31,0.11950904166304684,0.16517035868446106,0.12214545407707877,0.11590637262936872
98,-1.0,20,31,0.11736140700606461,0.1719148673697546,0.12002458326891748,0.12083533471750066
99,-1.0,20,31,0.11938284778226393,0.15786497261085558,0.12199121617398256,0.11091264880184157
100,-1.0,20,31,0.1251513996678057,0.13457353429206467,0.12767633704248102,0.09431101947958258
101,-1.0,20,31,0.117914406174186,0.170602139790486,0.12061443262313257,0.11971975225898468
102,-1.0,20,31,0.11779698524370474,0.16313369376918613,0.12043640262420172,0.11467361148613098
103,-1.0,20,31,0.12322898536731543,0.1300519220991128,0.12575091121533308,0.0912953104940642
104,-1.0,20,31,0.12309406265833794,0.1375077591334461,0.12564468283844743,0.09659451393117394
105,-1.0,20,31,0.1218137939377742,0.14814372451361082,0.12441290797257765,0.10395496880604127
106,-1.0,20,27,0.018474608608501964,0.6852577036840299,0.022992423733962118,0.48568326335433565
107,-1.0,20,31,0.12346032313856715,0.16199706635302683,0.12615976510243615,0.1138876965641162
108,-1.0,20,31,0.11944258201974305,0.14083356816140932,0.12195397075449144,0.09881137134184415
109,-1.0,20,31,0.1267498695700433,0.1365891935187482,0.12935010993919027,0.09568085835174686
110,-1.0,20,31,0.12031853344334986,0.13679165308543814,0.12282334950122434,0.09617056363631914
111,-1.0,20,31,0.12006196538896083,0.16936837164787968,0.12277102334454433,0.1190208641010867
112,-1.0,20,31,0.11854613027351942,0.14532966494383479,0.12106589797915675,0.10205964605807563
113,-1.0,20,31,0.1232814104696049,0.14162489707026774,0.12588675124172827,0.09950559850707943
114,-1.0,20,31,0.11860764342920135,0.14595463764376365,0.1211382901331769,0.10251787142106113
115,-1.0,20,31,0.13723959725455023,-0.14943821390732326,0.13958697028702743,-0.10382959312851445
116,-1.0,20,31,0.06577577296929564,0.5115724768282136,0.06968739752894203,0.3589247651162302
117,-1.0,20,31,0.12207844841397278,0.1567900524881821,0.1247555752376395,0.1101511890583187
